galaxy_sequence_utils	https://github.com/galaxyproject/sequence_utils	
trim-galore	https://github.com/FelixKrueger/TrimGalore	
fast5	https://github.com/mateidavid/fast5	
easydev	https://github.com/cokelaer/easydev	
matplotlib	https://github.com/matplotlib/matplotlib	
pbalign	https://github.com/PacificBiosciences/pbalign	
pbh5tools	https://github.com/PacificBiosciences/pbh5tools	
graphlan	https://github.com/biobakery/graphlan	
gubbins	https://github.com/sanger-pathogens/gubbins	
transdecoder	https://github.com/TransDecoder/TransDecoder	
porechop	https://github.com/rrwick/Porechop	
aragorn	http://mbio-serv2.mbioekol.lu.se/ARAGORN/	
coreutils	https://github.com/coreutils/coreutils	
qcumber	https://gitlab.com/RKIBioinformaticsPipelines/QCumber	
soapaligner	http://soap.genomics.org.cn/soapaligner.html	
cassiopee	https://github.com/osallou/cassiopee-c	
changeo	https://bitbucket.org/kleinstein/changeo/	
fastahack	https://github.com/ekg/fastahack	
dascrubber	https://github.com/thegenemyers/DASCRUBBER	
dawg	https://github.com/reedacartwright/dawg	
dcmtk	https://github.com/DCMTK/dcmtk	
dwgsim	https://github.com/nh13/DWGSIM/	
ecopcr	https://git.metabarcoding.org/obitools/ecopcr	
ghmm	https://ghmm.org	
grabix	https://github.com/arq5x/grabix	
hhsuite	https://toolkit.tuebingen.mpg.de/	
lefse	https://bitbucket.org/nsegata/lefse	
mhap	https://github.com/marbl/MHAP	
minimap	https://github.com/lh3/minimap	
pbcommand	https://github.com/PacificBiosciences/pbbioconda	
pbdagcon	https://github.com/PacificBiosciences/pbdagcon	
pbcore	https://github.com/PacificBiosciences/pbbioconda	
parafly	http://parafly.sourceforge.net	
parsnp	https://github.com/marbl/parsnp	
phipack	http://www.maths.otago.ac.nz/~dbryant/software/phimanual.pdf	
screed	https://screed.readthedocs.org	
sumaclust	http://metabarcoding.org/sumaclust	
squizz	ftp://ftp.pasteur.fr/pub/gensoft/projects/squizz/	
sim4db	http://kmer.sourceforge.net	
sprai	http://zombie.cb.k.u-tokyo.ac.jp/sprai/index.html	
transrate-tools	https://github.com/Blahah/transrate	
pymummer	https://github.com/sanger-pathogens/pymummer	
yaggo	https://github.com/gmarcais/yaggo	
rdp-readseq	https://github.com/rdpstaff/ReadSeq	
snap-aligner	https://github.com/amplab/snap	
qcli	https://pypi.org/project/qcli/	
snpomatic	https://github.com/magnusmanske/snpomatic	
transtermhp	http://transterm.cbcb.umd.edu/	
pyqi	https://pypi.python.org/pypi/pyqi/	
seqmagick	http://github.com/fhcrc/seqmagick	
sqt	https://bitbucket.org/marcelm/sqt	
biowdl-input-converter	https://github.com/biowdl/biowdl-input-converter	
nanoplot	https://github.com/wdecoster/NanoPlot	
abricate	https://github.com/tseemann/abricate	
python-bioext	https://github.com/veg/BioExt.git	
maxbin2	https://sourceforgenet/projects/maxbin2/	
sickle-trim	https://github.com/najoshi/sickle	
tb_variant_filter	http://github.com/COMBAT-TB/tb_variant_filter	
gvcftools	https://github.com/sequencing/gvcftools	
graph_embed	https://github.com/fabriziocosta/GraphEmbed	
rust-ncbitaxonomy	https://docs.rs/crate/ncbitaxonomy/1.0.3/source/	
ncbi-acc-download	https://github.com/kblin/ncbi-acc-download/	
fermi2	https://github.com/lh3/fermi2/	
bctools	https://github.com/dmaticzka/bctools	
tbvcfreport	http://github.com/COMBAT-TB/tbvcfreport	
pizzly	https://github.com/pmelsted/pizzly	
crispr_studio	https://github.com/moineaulab/CRISPRStudio	
pipelign	https://github.com/asmmhossain/pipelign/	
snp-dists	https://github.com/tseemann/snp-dists	
nudup	https://github.com/tecangenomics/nudup	
prestor	https://bitbucket.org/javh/prototype-prestor	
qfilt	https://github.com/veg/qfilt	
umi_tools	https://github.com/CGATOxford/UMI-tools/	
perl-xml-xpath	https://metacpan.org/pod/XML::XPath	
structureharvester	https://github.com/dentearl/structureHarvester/	
valet	https://github.com/marbl/VALET	
medaka	https://github.com/nanoporetech/medaka	
datamash	http://ftpmirror.gnu.org/datamash/	
scikit-bio	https://github.com/biocore/scikit-bio	
jq	https://github.com/stedolan/jq/	
humann2	https://github.com/biobakery/humann	
perl	https://www.perl.org/	
migmap	https://github.com/mikessh/migmap	
enasearch	https://github.com/bebatut/enasearch	
bax2bam	https://github.com/PacificBiosciences/bax2bam	
msaboot	https://github.com/phac-nml/msaboot	
goslimmer	https://github.com/DanFaria/GOSlimmer	
python-hivclustering	https://github.com/veg/hivclustering	
perl-onto-perl	http://metacpan.org/pod/ONTO-PERL	
r-data.table	https://CRAN.R-project.org/package=data.table	
r-reshape2	https://github.com/hadley/reshape	
berokka	https://github.com/tseemann/berokka	
vcf2maf	https://github.com/mskcc/vcf2maf	
biopet-scatterregions	https://github.com/biopet/scatterregions	
vg	https://github.com/vgteam/vg	
gawk	http://ftpmirror.gnu.org/gawk/	
export2graphlan	https://github.com/segatalab/export2graphlan	
r-exomedepth	https://CRAN.R-project.org/package=ExomeDepth	
isoseq3	https://github.com/PacificBiosciences/pbbioconda	
collect-columns	https://github.com/biowdl/collect-columns	
r-vegan	https://CRAN.R-project.org/package=vegan	
tn93	https://github.com/veg/tn93	
vardict-java	https://github.com/AstraZeneca-NGS/VarDictJava	
fgbio	https://github.com/fulcrumgenomics/fgbio	
odgi	https://github.com/vgteam/odgi	
seqwish	https://github.com/ekg/seqwish	
fastq-screen	https://github.com/StevenWingett/FastQ-Screen	
pbccs	https://github.com/PacificBiosciences/pbbioconda	
chunked-scatter	https://github.com/biowdl/chunked-scatter	
curl	https://github.com/curl/curl	
lima	https://github.com/PacificBiosciences/pbbioconda	
spectra-cluster-cli	https://github.com/spectra-cluster/spectra-cluster-cli	
clever-toolkit	https://bitbucket.org/tobiasmarschall/clever-toolkit/	
kcalign	https://github.com/davebx/kc-align	
rtg-tools	https://github.com/RealTimeGenomics/rtg-tools	
imctools	https://github.com/BodenmillerGroup/imctools	
cgpbigwig	https://github.com/cancerit/cgpBigWig	
cnv_facets	https://github.com/dariober/cnv_facets	
2pg_cartesian	https://github.com/rodrigofaccioli/2pg_cartesian/	
entrez-direct	ftp://ftp.ncbi.nlm.nih.gov/entrez/entrezdirect/	
scanpy-scripts	https://github.com/ebi-gene-expression-group/scanpy-scripts	
agat	https://github.com/NBISweden/AGAT	
mzml2isa	https://github.com/ISA-tools/mzml2isa	
smoove	https://github.com/brentp/smoove	
pyani	https://github.com/widdowquinn/pyani	
chromosight	https://github.com/koszullab/chromosight	
snakemake-minimal	https://github.com/snakemake/snakemake/	
soapec	http://soap.genomics.org.cn/soapdenovo.html	
illumina-interop	https://github.com/Illumina/interop	
adpred	https://github.com/FredHutch/adpred	
macs2	http://github.com/taoliu/MACS/	
bam-readcount	https://github.com/genome/bam-readcount	
dropletutils-scripts	https://github.com/ebi-gene-expression-group/dropletutils-scripts	
fwdpy11	http://pypi.python.org/pypi/fwdpy11	
genome_updater	https://github.com/pirovc/genome_updater	
convert_zero_one_based	https://github.com/griffithlab/convert_zero_one_based.git	
crispector	https://github.com/YakhiniGroup/crispector	
metawrap	https://github.com/bxlab/metaWRAP	
wtdbg	https://github.com/ruanjue/wtdbg2	
